道具名称,类型,品质,力量,护甲,智力,信仰,攻速,移速,暴击率,效果,物品描述,,
世界的蛇蜕,5,——,——,50,——,-15,0.2,-5,——,在受到伤害的0.25s内无法受到伤害,“耶梦加得的蛇蜕，层层环绕着人间的边界”,,
世界的毒腺,5,——,——,——,——,——,0.35,5,——,攻击给敌人附加“剧毒”效果,“世间至毒之物，并非环世之蛇的毒牙，而是背叛与诡计”,,
轮回的苦楚,5,——,——,——,——,——,——,——,——,获得时，随机使装备者的一项属性*1.5，另一项属性减半,“巨蛇包裹人界，而孤独包裹巨蛇”,,
主神的坚韧,5,——,——,75,——,——,——,——,——,有10%概率反弹非Boss敌人的远程攻击,“神王的金盔，号称是此世最为坚固之物”,,
主神的牺牲,5,——,——,——,75,35,——,——,——,使装备者当前血量减半,“以一只神瞳的代价，换取窥见命运的权能，但除了徒增烦恼，还有何用？”,,
主神的征战,5,——,——,——,——,——,——,——,10%,使装备者暴击伤害提高1/2暴击率的数值,“秩序的神国，也是从混沌的战争中构建的”,,
尼福尔海姆的黑雾,4,——,——,——,——,——,——,——,25%,装备者暴击时，获得一层“神秘”，至多5层，每一层“神秘”提供3护甲，持续5s,“…不可断绝，生生不息”,,
霜巨人的冰锥,4,——,35,——,——,——,——,2,——,,,,
托尔的残雷,4,——,10,——,——,——,0.2,——,10%,,“足够一个城镇一年的用电了”,,
人界的断刃,4,——,10,——,——,——,——,——,——,,“骑士归来之时”,,
国王的水晶,4,——,——,——,——,——,0.25,——,——,,“奢靡”,,
国王的权杖,4,——,——,——,——,10,——,——,——,,“权力”,,
国王的旨意,4,——,——,——,——,——,——,——,10%,,“独裁”,,
倾国,4,——,——,——,——,——,——,——,——,当装备者同时拥有“国王的水晶”“国王的权杖”“国王的冠冕”时，提供100力量,“灭亡”,,
猎人的翎羽,4,——,——,——,——,——,——,10,——,,,,
诡异陶壶,4,——,1,1,1,1,0.1,1,1%,每次进入新节点，使该神器提供的其中一项属性+1（移速为0.1，暴击率为1%）,,,
谄媚,4,——,——,——,10,——,——,5,——,,,,
蛀虫的金苹果,4,——,——,5,5,5,——,——,——,有5%概率使受到的攻击无效化,,,
银酿之盏,4,——,5,——,——,——,——,——,5%,使装备者的暴击伤害提高10%,”管他金的银的，能盛酒的就是好杯子”,,
科技的胎儿,4,——,——,——,——,——,0.35,——,——,,“串台了”,,
南方的史诗,4,——,15,——,5,——,——,——,——,,“阿门”,,
酒神的鼻涕泡,4,——,——,——,——,——,——,——,——,使装备者蜜酿的回复量提高20%,“你是说，这杯液体是鼻涕泡？”,,
虚妄的魔神像,4,——,——,-50,——,——,1.5,——,——,,“..vja…..ojb....i…..bs....jfg...f.sn..s.b.so.v..ks.”,,
传说骑士的马鞍,4,——,——,10,——,——,——,10,——,,“马和骑士都不在了”,,
欲望的圣杯,4,——,15,——,——,-10,0.25,——,5%,,“试问，你是我的…”,,
史基尼尔的密信,4,——,-10,——,——,——,0.15,15,——,,“不拆开信封偷窥他人隐私，是信使最基本的职业道德”,,
伦理的权衡,4,——,-50,——,——,——,——,——,50%,,,,
仿生恐惧,4,——,5,5,——,——,——,2,——,,“杯弓蛇影”,,
丰收,4,——,——,——,——,——,——,-3,——,使装备者蜜酿的回复量提高30%,,,
耐药性,4,——,——,——,——,——,——,——,——,使装备者受到的“剧毒”伤害减免50%,,,
沉默的魔神像,4,——,——,-50,——,——,——,——,50%,,“ob...sllsr.a.nb.og.ne….ga.u.tq.h.sfl...a.m...gg.”,,
魔神的显现,4,——,200,-300,——,——,2.5,——,100%,当装备者同时拥有“疯狂的魔神像”“沉默的魔神像”“虚妄的魔神像”时，合成该神器,“DESTRUCTION”,,
精灵的希冀,4,——,5,——,——,5,0.5,——,——,,,,
冥府冲流,4,——,45,——,——,——,-0.5,-10,——,装备者的攻击会使赫尔海姆的灵魂不再复活,,,
阿斯加德宗印,4,——,30,-10,——,——,0.25,——,10%,在阿斯加德地区时，属性翻倍,,,
小题大做,4,——,——,——,——,——,——,——,——,提高5%的神器掉落率,"""曾经，有个傻子倾家荡产锻了把镶金的鱼竿，只为钓上传说中的神鱼""",,
幸得佳果,4,——,——,——,——,——,——,——,——,拥有“小题大做”时获得该神器，立即获得300尘环,“他做到了”,,
骑士的老旧铠甲,4,——,——,15,——,——,-0.25,——,——,,,,
此刻休憩,4,——,——,——,——,——,——,——,——,获得后立刻传送到最近的商店节点,“有时候，你需要学会坐火”,,
亡国的幸存者,4,——,——,——,——,——,——,——,——,获得后立即获得30尘环,,,
鲜血牲祭,4,——,——,——,——,——,——,——,——,损失50%的生命值，通过7个节点后，获得等量的生命上限,“有偿献血”,,
不可名状之物,4,——,——,——,100,——,——,——,——,只能使用蛊惑进行攻击,“这XX是什么玩意”,,
温暖回归,4,——,——,——,——,——,——,——,——,获得后立刻传送到最近的商店节点，并获得20尘环,“别总幻想在火边遇见给你送灵马戒指的女人了”,,
公主的吊坠,4,——,——,——,——,——,——,——,——,获得后立刻使自己的尘环数量翻倍,,,
窃贼的风衣,4,——,——,——,——,——,——,20,15%,有15的概率使受到的攻击无效化,,,
老法师的大帽,4,——,——,——,15,——,——,——,——,,“六格神装”,,
全新火力,3,紫,195,——,——,-15,0.75,——,30%,,“大人，时代变了”,,
淬魂鬼刀,2,紫,155,——,——,-15,1.25,——,——,,,,
罪人长锤,1,紫,165,——,——,-15,1,——,15%,,,,
海贼弯刀,2,蓝,145,——,——,——,1,3,——,,“我是要成为…”,,
手里剑,3,蓝,85,——,——,——,1.5,——,——,,,,
掘墓铁铲,1,蓝,160,——,——,——,0.75,——,10%,,,,
威震九州,1,金,155,-50,——,——,1,3,80%,,“#东方进口”,,
觐王殇,2,金,100,——,——,——,3,——,5%,,“某位救世主的不详妖刀”,,
Infinity,3,金,150,-100,——,——,2,——,——,,“跪下，杂碎”,,
点石成金,4,——,——,——,——,——,——,——,——,当装备者拥有该神器时，所有渠道获取的尘环数量增加50%,“最受欢迎神器榜2025榜首…”,,
收割者,4,——,-150,-100,100,——,——,——,——,,,,
源海胎盘,4,——,——,——,25,25,——,10,——,,,,
正义裁定者,4,——,100,-100,-50,50,——,——,——,,“阿斯加德的大法官也爱砸砸锤子——肃静！”,,
蜜酿,6,——,——,——,——,——,——,——,——,主动使用的道具，使用后回复50生命值,“不要贪杯哦”,,
记忆碎片,7,——,——,——,——,——,——,——,——,主动使用的道具，使用后回复10%记忆完整度,"""你会记起那些史诗…“",,
