道具名称,类型,品质,力量,护甲,智力,信仰,攻速,移速,暴击率,效果,文件名,物品描述,价格,,,,,,,,,,,,,,,
金酿之盏,4,——,5,——,——,——,——,——,10%,使装备者暴击伤害提高20%,fc66,“嗝~我要把你喝翻到桌子底下去”,95,,,,,,,,,,,,,,,
阿斯加德的烛火,4,——,——,——,25,30,——,5,——,使装备免疫一次蛊惑致死,fc83,,100,,,,,,,,,,,,,,,
亚尔夫海姆的微光,4,——,——,——,——,10,0.5,10,——,,fc1040,“不是萤火虫！”,86,,,,,,,,,,,,,,,
永不止歇的圣餐,4,——,——,20,——,——,——,——,——,使装备者的蜜酿使用次数上限+1,fc514,“你是说，一块吃不完的面包？”,52,,,,,,,,,,,,,,,
穆斯贝尔海姆的狂喰,4,——,5,5,50,-35,——,-5,——,装备者每次通过蛊惑击杀目标，回复10生命值,fc263,“一朵以岩浆和血为食的妖花”,93,,,,,,,,,,,,,,,
冥神的对赌协议,5,——,——,-15,——,——,0.2,——,10%,装备者每次攻击，如果暴击则回复7生命值，如果未暴击，则损失7生命值,fc107,“将生命置于天平，和死亡的女神打赌”,——,,,,,,,,,,,,,,,
疯狂的魔神像,4,——,100,-50,——,——,——,——,——,,fc748,“d...jov..j...al.cj..an.dal.d....mav..jl….a”,50,,,,,,,,,,,,,,,
金苹果,4,——,——,10,10,10,——,——,——,有10%的概率使受到的攻击无效化,fc435,“放心，不是硬的”,47,,,,,,,,,,,,,,,
贼神的长靴,4,——,——,——,——,——,——,20,——,,fc1993,“想拥有一双眨眼间就能跨界旅行的好鞋吗？打开…搜索...”,68,,,,,,,,,,,,,,,
守财奴的金钥,4,——,——,——,——,——,——,——,——,获得该神器时，立刻获得100尘环,fc179,“守了一辈子的财，只有钥匙最昂贵”,——,,,,,,,,,,,,,,,
槲寄生,4,——,——,——,——,——,——,——,——,使装备者的远程攻击能够穿透敌人目标,fc1067,“凶器”,72,,,,,,,,,,,,,,,
芙蕾雅的研磨台,4,——,——,——,——,——,——,——,——,获得蜜酿时，使其数量+1,fc53,“没人觉得磨石的声音和指甲刮黑板差不多吗？”,103,,,,,,,,,,,,,,,
偏执的恶意,4,——,——,——,——,——,——,——,——,拥有此神器的情况下，后续获取的所有神器都会变成“恶意的祈祷”,fc863,“最怕害人都要钻牛角尖”,44,,,,,,,,,,,,,,,
恶意的祈祷,4,——,——,——,——,——,——,——,——,使装备者获得 y * 15的攻击力以及y * 5%的暴击率（y为“恶意的祈祷”的数量）,fc127,“道理我都懂，为什么UI不是巫毒娃娃？”,——,,,,,,,,,,,,,,,
巨人甲胄,4,——,——,30,——,10,-0.25,——,——,,fc2051,“这大的都能当你家了，伙计”,61,,,,,,,,,,,,,,,
百战之盔,4,——,——,15,——,5,——,——,——,,fc2054,,23,,,,,,,,,,,,,,,
伊斯塔亚的孑遗,4,——,5,5,5,5,0.25,5,10%,,fc236,“某个沉没世界的遗孤…...”,39,,,,,,,,,,,,,,,
伊斯塔亚的斩首者,4,——,15,——,——,——,——,——,——,装备者击杀怪物后，会在3s内获得35力量（状态刷新覆盖）,fc1466,“听我说，其实这家伙以前是用来砍树的”,46,,,,,,,,,,,,,,,
诅咒的温床,5,——,20,-20,——,——,-0.1,5,5%,装备者每次死亡，都会获得10的永久力量提升,fc224,“独守冥界与万魂相伴的女神，也渴盼温暖的床榻”,——,,,,,,,,,,,,,,,
降死法典,5,——,——,-15,15,——,——,5,——,每次通过蛊惑击杀敌人，都会获得0.2智力,fc100,“生死簿”,——,,,,,,,,,,,,,,,
喋血的獠牙,5,——,——,-100,——,——,1,5,——,每次攻击敌人回复3生命值,fc230,“别问了，那是芬里尔的牙垢”,——,,,,,,,,,,,,,,,
亵渎的獠牙,5,——,——,——,——,-100,1,5,——,每次攻击敌人回复3蛊惑条,fc232,“不羁的巨狼，将用它最锋利的獠牙，撕碎日月，引来黄昏”,——,,,,,,,,,,,,,,,
囚徒的思忆,5,——,20,——,——,——,0.5,-10,——,,fc861,“被监禁折磨的野兽，没有一日不在畅想离开镣铐的未来”,——,,,,,,,,,,,,,,,
世界的蛇蜕,5,——,——,50,——,-15,0.2,-5,——,在受到伤害的0.25s内无法受到伤害,fc806,“耶梦加得的蛇蜕，层层环绕着人间的边界”,——,,,,,,,,,,,,,,,
世界的毒腺,5,——,——,——,——,——,0.35,5,——,攻击给敌人附加“剧毒”效果,fc808,“世间至毒之物，并非环世之蛇的毒牙，而是背叛与诡计”,——,,,,,,,,,,,,,,,
轮回的苦楚,5,——,——,——,——,——,——,——,——,获得时，随机使装备者的一项属性*1.5，另一项属性减半,fc744,“巨蛇包裹人界，而孤独包裹巨蛇”,——,,,,,,,,,,,,,,,
主神的坚韧,5,——,——,75,——,——,——,——,——,有10%概率反弹非Boss敌人的远程攻击,fc1889,“神王的金盔，号称是此世最为坚固之物”,——,,,,,,,,,,,,,,,
主神的牺牲,5,——,——,——,75,35,——,——,——,使装备者当前血量减半,fc719,“以一只神瞳的代价，换取窥见命运的权能，但除了徒增烦恼，还有何用？”,——,,,,,,,,,,,,,,,
主神的征战,5,——,——,——,——,——,——,——,10%,使装备者暴击伤害提高1/2暴击率的数值,fc1740,“秩序的神国，也是从混沌的战争中构建的”,——,,,,,,,,,,,,,,,
尼福尔海姆的黑雾,4,——,——,——,——,——,——,——,25%,装备者暴击时，获得一层“神秘”，至多5层，每一层“神秘”提供3护甲，持续5s,fc85,“…不可断绝，生生不息”,36,,,,,,,,,,,,,,,
霜巨人的冰锥,4,——,35,——,——,——,——,2,——,,fc26,,55,,,,,,,,,,,,,,,
托尔的残雷,4,——,10,——,——,——,0.2,——,10%,,fc688,“足够一个城镇一年的用电了”,38,,,,,,,,,,,,,,,
人界的断刃,4,——,10,——,——,——,——,——,——,,fc155,“骑士归来之时”,18,,,,,,,,,,,,,,,
国王的水晶,4,——,——,——,——,——,0.25,——,——,,fc168,“奢靡”,16,,,,,,,,,,,,,,,
国王的权杖,4,——,——,——,——,10,——,——,——,,fc295,“权力”,12,,,,,,,,,,,,,,,
国王的旨意,4,——,——,——,——,——,——,——,10%,,fc1845,“独裁”,15,,,,,,,,,,,,,,,
倾国,4,——,——,——,——,——,——,——,——,当装备者同时拥有“国王的水晶”“国王的权杖”“国王的冠冕”时，提供100力量,fc2084,“灭亡”,20,,,,,,,,,,,,,,,
猎人的翎羽,4,——,——,——,——,——,——,10,——,,fc7,,11,,,,,,,,,,,,,,,
诡异陶壶,4,——,1,1,1,1,0.1,1,1%,每次进入新节点，使该神器提供的其中一项属性+1（移速为0.1，暴击率为1%）,fc1,,18,,,,,,,,,,,,,,,
谄媚,4,——,——,——,10,——,——,5,——,,fc136,,21,,,,,,,,,,,,,,,
蛀虫的金苹果,4,——,——,5,5,5,——,——,——,有5%概率使受到的攻击无效化,fc435,,25,,,,,,,,,,,,,,,
银酿之盏,4,——,5,——,——,——,——,——,5%,使装备者的暴击伤害提高10%,fc52,”管他金的银的，能盛酒的就是好杯子”,32,,,,,,,,,,,,,,,
科技的胎儿,4,——,——,——,——,——,0.35,——,——,,fc10,“串台了”,19,,,,,,,,,,,,,,,
南方的史诗,4,——,15,——,5,——,——,——,——,,fc662,“阿门”,26,,,,,,,,,,,,,,,
酒神的鼻涕泡,4,——,——,——,——,——,——,——,——,使装备者蜜酿的回复量提高20%,fc55,“你是说，这杯液体是鼻涕泡？”,22,,,,,,,,,,,,,,,
虚妄的魔神像,4,——,——,-50,——,——,1.5,——,——,,fc741,“..vja…..ojb....i…..bs....jfg...f.sn..s.b.so.v..ks.”,50,,,,,,,,,,,,,,,
传说骑士的马鞍,4,——,——,10,——,——,——,10,——,,fc45,“马和骑士都不在了”,22,,,,,,,,,,,,,,,
欲望的圣杯,4,——,15,——,——,-10,0.25,——,5%,,fc15,“试问，你是我的…”,30,,,,,,,,,,,,,,,
史基尼尔的密信,4,——,-10,——,——,——,0.15,15,——,,fc112,“不拆开信封偷窥他人隐私，是信使最基本的职业道德”,9,,,,,,,,,,,,,,,
伦理的权衡,4,——,-50,——,——,——,——,——,50%,,fc124,,24,,,,,,,,,,,,,,,
仿生恐惧,4,——,5,5,——,——,——,2,——,,fc341,“杯弓蛇影”,16,,,,,,,,,,,,,,,
丰收,4,——,——,——,——,——,——,-3,——,使装备者蜜酿的回复量提高30%,fc190,,29,,,,,,,,,,,,,,,
耐药性,4,——,——,——,——,——,——,——,——,使装备者受到的“剧毒”伤害减免50%,fc465,,17,,,,,,,,,,,,,,,
沉默的魔神像,4,——,——,-50,——,——,——,——,50%,,fc755,“ob...sllsr.a.nb.og.ne….ga.u.tq.h.sfl...a.m...gg.”,50,,,,,,,,,,,,,,,
魔神的显现,4,——,200,-300,——,——,2.5,——,100%,当装备者同时拥有“疯狂的魔神像”“沉默的魔神像”“虚妄的魔神像”时，合成该神器,fc864,“DESTRUCTION”,——,,,,,,,,,,,,,,,
精灵的希冀,4,——,5,——,——,5,0.5,——,——,,fc245,,42,,,,,,,,,,,,,,,
冥府冲流,4,——,45,——,——,——,-0.5,-10,——,装备者的攻击会使赫尔海姆的灵魂不再复活,fc397,,32,,,,,,,,,,,,,,,
阿斯加德宗印,4,——,30,-10,——,——,0.25,——,10%,在阿斯加德地区时，属性翻倍,fc769,,56,,,,,,,,,,,,,,,
小题大做,4,——,——,——,——,——,——,——,——,提高5%的神器掉落率,fc339,"""曾经，有个傻子倾家荡产锻了把镶金的鱼竿，只为钓上传说中的神鱼""",80,,,,,,,,,,,,,,,
幸得佳果,4,——,——,——,——,——,——,——,——,拥有“小题大做”时获得该神器，立即获得300尘环,fc364,“他做到了”,5,,,,,,,,,,,,,,,
骑士的老旧铠甲,4,——,——,15,——,——,-0.25,——,——,,fc1928,,11,,,,,,,,,,,,,,,
此刻休憩,4,——,——,——,——,——,——,——,——,获得后立刻传送到最近的商店节点,fc23,“有时候，你需要学会坐火”,——,,,,,,,,,,,,,,,
亡国的幸存者,4,——,——,——,——,——,——,——,——,获得后立即获得30尘环,fc151,,30,,,,,,,,,,,,,,,
鲜血牲祭,4,——,——,——,——,——,——,——,——,损失50%的生命值，通过7个节点后，获得等量的生命上限,fc500,“有偿献血”,43,,,,,,,,,,,,,,,
不可名状之物,4,——,——,——,100,——,——,——,——,只能使用蛊惑进行攻击,fc740,“这XX是什么玩意”,53,,,,,,,,,,,,,,,
温暖回归,4,——,——,——,——,——,——,——,——,获得后立刻传送到最近的商店节点，并获得20尘环,fc911,“别总幻想在火边遇见给你送灵马戒指的女人了”,——,,,,,,,,,,,,,,,
公主的吊坠,4,——,——,——,——,——,——,——,——,获得后立刻使自己的尘环数量翻倍,fc2182,,50,,,,,,,,,,,,,,,
窃贼的风衣,4,——,——,——,——,——,——,20,15%,有15的概率使受到的攻击无效化,fc2070,,73,,,,,,,,,,,,,,,
老法师的大帽,4,——,——,——,15,——,——,——,——,,fc1960,“六格神装”,20,,,,,,,,,,,,,,,
全新火力,3,紫,195,——,——,-15,0.75,——,30%,,fc1766,“大人，时代变了”,115,,,,,,,,,,,,,,,
淬魂鬼刀,2,紫,155,——,——,-15,1.25,——,——,,fc1694,,117,,,,,,,,,,,,,,,
罪人长锤,1,紫,165,——,——,-15,1,——,15%,,fc1497,,109,,,,,,,,,,,,,,,
海贼弯刀,2,蓝,145,——,——,——,1,3,——,,fc1452,“我是要成为…”,93,,,,,,,,,,,,,,,
手里剑,3,蓝,85,——,——,——,1.5,——,——,,fc1504,,79,,,,,,,,,,,,,,,
掘墓铁铲,1,蓝,160,——,——,——,0.75,——,10%,,fc1470,,86,,,,,,,,,,,,,,,
威震九州,1,金,155,-50,——,——,1,3,80%,,fc1704,“#东方进口”,127,,,,,,,,,,,,,,,
觐王殇,2,金,100,——,——,——,3,——,5%,,fc1728,“某位救世主的不详妖刀”,163,,,,,,,,,,,,,,,
Infinity,3,金,150,-100,——,——,2,——,——,,fc1592,“跪下，杂碎”,141,,,,,,,,,,,,,,,
点石成金,4,——,——,——,——,——,——,——,——,当装备者拥有该神器时，所有渠道获取的尘环数量增加50%,fc1568,“最受欢迎神器榜2025榜首…”,56,,,,,,,,,,,,,,,
收割者,4,——,-150,-100,100,——,——,——,——,,fc1695,,84,,,,,,,,,,,,,,,
源海胎盘,4,——,——,——,25,25,——,10,——,,fc1738,,73,,,,,,,,,,,,,,,
正义裁定者,4,——,100,-100,-50,50,——,——,——,,fc1706,“阿斯加德的大法官也爱砸砸锤子——肃静！”,69,,,,,,,,,,,,,,,
蜜酿,6,——,——,——,——,——,——,——,——,主动使用的道具，使用后回复50生命值,fc269,“不要贪杯哦”,——,,,,,,,,,,,,,,,
记忆碎片,7,——,——,——,——,——,——,——,——,主动使用的道具，使用后回复10%记忆完整度,fc312,"""你会记起那些史诗…“",——,,,,,,,,,,,,,,,
